Actual_Traffic,Predicted_Traffic,Absolute_Error
621,776.9579915532227,155.95799155322266
171,210.28615260240042,39.28615260240042
179,226.06474527784087,47.06474527784087
62,140.1396360813385,78.1396360813385
174,178.39428228117572,4.39428228117572
1654,1590.3446251233813,63.65537487661868
161,182.4226780993547,21.422678099354698
1373,1467.4828064921164,94.48280649211642
103,57.146865429600666,45.853134570399334
1516,1482.0952502012447,33.90474979875535
1690,1635.941901718365,54.05809828163501
1738,1563.2550402091993,174.74495979080075
265,285.1986239867249,20.198623986724897
466,355.1370497139176,110.86295028608242
1426,1568.9611988306297,142.96119883062966
1387,1403.6816789446925,16.68167894469252
1301,1393.2941778333548,92.29417783335475
175,194.5758377148327,19.575837714832687
59,-11.992203820118448,70.99220382011845
750,849.5821307721342,99.58213077213418
1192,1261.1680188243854,69.1680188243854
164,162.52741584037392,1.4725841596260807
193,102.99308397705886,90.00691602294114
1017,1073.7233415167807,56.72334151678069
1519,1477.8546864239554,41.1453135760446
776,826.9041353164205,50.90413531642048
1516,1446.332139133973,69.66786086602701
100,131.94107502984127,31.941075029841272
1502,1500.6133686558583,1.3866313441417333
164,173.876177335566,9.876177335566013
846,1084.357351695532,238.3573516955321
147,93.64969720664794,53.35030279335206
843,812.398725124944,30.601274875055992
1626,1598.4141706599833,27.585829340016744
80,-18.06127818580171,98.06127818580171
398,534.0663716134536,136.0663716134536
1303,1347.6377853999734,44.63778539997338
571,523.5264411431349,47.47355885686511
1010,992.7386526058625,17.261347394137488
748,874.936324777477,126.93632477747701
189,165.31559315555523,23.684406844444766
1502,1486.5497380921656,15.450261907834374
1531,1463.9500668544458,67.04993314555418
1019,1059.9202106662494,40.92021066624943
725,662.6788394678496,62.32116053215043
1605,1471.5995351615793,133.4004648384207
817,874.8158205480873,57.815820548087345
470,523.8934915983457,53.89349159834569
1658,1570.5653636568295,87.4346363431705
1598,1569.777507220305,28.222492779694903
1310,1350.4392281698783,40.439228169878334
92,54.88466263330565,37.11533736669435
1504,1443.902199931173,60.09780006882693
517,590.616004440959,73.61600444095905
1587,1499.5861945628283,87.41380543717173
1605,1682.2212851131912,77.22128511319124
1633,1545.7342261138583,87.26577388614169
1518,1393.068660862952,124.9313391370481
1317,1356.4180202915582,39.41802029155815
434,438.6747697005367,4.674769700536672
1082,1166.7402541038161,84.74025410381614
341,359.0905455751747,18.0905455751747
178,236.79638274809588,58.79638274809588
319,346.71436360776545,27.71436360776545
793,857.1621400088752,64.16214000887521
34,-0.6812218015677445,34.681221801567744
1343,1391.0598568864687,48.05985688646865
1182,1109.7303968319025,72.26960316809755
433,395.32788315232096,37.672116847679035
322,267.55081642230584,54.44918357769416
89,18.476295989267328,70.52370401073267
1553,1499.6577199609355,53.34228003906446
1100,1192.4059225163885,92.4059225163885
287,213.61311140444968,73.38688859555032
1009,1075.4620364880006,66.46203648800065
1595,1454.963441987503,140.03655801249693
1106,1233.791454441314,127.79145444131404
609,681.837503061101,72.83750306110096
474,397.61375956260224,76.38624043739776
1695,1585.3589302579414,109.64106974205856
711,783.290502658651,72.29050265865101
114,164.2724812870556,50.2724812870556
355,374.6643664238559,19.66436642385588
39,54.80539462119066,15.805394621190658
1570,1678.570207235717,108.57020723571691
1546,1505.6271968548594,40.37280314514055
1218,1241.3026543457065,23.302654345706515
864,757.8220208013041,106.17797919869588
179,198.45210284895757,19.452102848957566
1726,1544.6471305863422,181.3528694136578
257,336.29464966110436,79.29464966110436
331,451.63943377360215,120.63943377360215
1498,1317.7439953581725,180.25600464182753
136,182.12103069008322,46.12103069008322
60,101.21759257437043,41.21759257437043
706,648.5521711281733,57.44782887182669
222,203.51759741298224,18.48240258701776
267,267.5185848948754,0.5185848948754028
77,59.06816252743033,17.93183747256967
51,-43.63613872665644,94.63613872665644
907,877.3764516022065,29.623548397793456
261,315.63609170864584,54.636091708645836
797,796.6800916050178,0.3199083949822352
1248,1327.278652841695,79.27865284169502
1368,1430.2456834102038,62.24568341020381
146,119.16101220654832,26.83898779345168
1387,1420.6581461495184,33.658146149518416
1078,1240.8539740305753,162.85397403057527
890,895.0774390423876,5.077439042387596
1389,1376.6108795717382,12.389120428261776
1578,1552.183848547581,25.816151452419035
1281,1304.9236360981727,23.923636098172665
749,844.4725016928406,95.47250169284064
1246,1369.1195809540254,123.11958095402542
1533,1495.4603649394026,37.53963506059745
1139,1198.3179637862313,59.3179637862313
1341,1305.7473434109695,35.252656589030494
1549,1541.0924207379378,7.9075792620622
84,39.85912739357468,44.14087260642532
1375,1419.7600459170446,44.760045917044636
1220,1560.83929730899,340.8392973089899
1736,1696.1955423725049,39.80445762749514
1766,1674.9279621312912,91.07203786870878
1510,1494.6843657857953,15.315634214204692
1504,1520.8936139855045,16.893613985504544
1213,1289.4454109954268,76.44541099542676
76,128.43349039378518,52.43349039378518
948,1232.864183175799,284.8641831757991
55,50.920507415110364,4.0794925848896355
1512,1476.9471606947468,35.0528393052532
1603,1551.5197398447144,51.48026015528558
32,-3.042531841613709,35.04253184161371
1636,1555.4315838964949,80.56841610350511
1407,1365.9800626212855,41.01993737871453
1633,1499.2759805073965,133.72401949260347
1459,1344.1991034992548,114.80089650074524
1478,1494.9838831243096,16.983883124309614
297,355.39325933993814,58.39325933993814
100,93.37351405498839,6.626485945011609
567,496.7677425700785,70.2322574299215
1165,1305.2630247211307,140.2630247211307
1630,1611.8138275156052,18.186172484394774
1246,1320.483074886377,74.48307488637693
1190,1107.2425510714677,82.75744892853231
456,375.8993322347683,80.10066776523172
60,55.49967940366196,4.500320596338042
